Fra;Til;KWH 60 Forbruk
10.09.2019 02:00;10.09.2019 03:00;0,234
10.09.2019 03:00;10.09.2019 04:00;0,537
10.09.2019 04:00;10.09.2019 05:00;0,392
10.09.2019 05:00;10.09.2019 06:00;0,409
10.09.2019 06:00;10.09.2019 07:00;0,425
10.09.2019 07:00;10.09.2019 08:00;0,57
10.09.2019 08:00;10.09.2019 09:00;1,658
10.09.2019 09:00;10.09.2019 10:00;0,549
10.09.2019 10:00;10.09.2019 11:00;1,452
10.09.2019 11:00;10.09.2019 12:00;0,942
10.09.2019 12:00;10.09.2019 13:00;0,993
10.09.2019 13:00;10.09.2019 14:00;0,71
10.09.2019 14:00;10.09.2019 15:00;0,874
10.09.2019 15:00;10.09.2019 16:00;0,537
10.09.2019 16:00;10.09.2019 17:00;0,724
10.09.2019 17:00;10.09.2019 18:00;1,693
10.09.2019 18:00;10.09.2019 19:00;0,88
10.09.2019 19:00;10.09.2019 20:00;0,929
10.09.2019 20:00;10.09.2019 21:00;3,115
10.09.2019 21:00;10.09.2019 22:00;1,145
10.09.2019 22:00;10.09.2019 23:00;0,532
10.09.2019 23:00;11.09.2019 00:00;0,353
11.09.2019 00:00;11.09.2019 01:00;0,41
11.09.2019 01:00;11.09.2019 02:00;0,275
11.09.2019 02:00;11.09.2019 03:00;0,468
11.09.2019 03:00;11.09.2019 04:00;0,243
11.09.2019 04:00;11.09.2019 05:00;0,538
11.09.2019 05:00;11.09.2019 06:00;1,145
11.09.2019 06:00;11.09.2019 07:00;0,428
11.09.2019 07:00;11.09.2019 08:00;0,652
11.09.2019 08:00;11.09.2019 09:00;0,358
11.09.2019 09:00;11.09.2019 10:00;0,208
11.09.2019 10:00;11.09.2019 11:00;0,519
11.09.2019 11:00;11.09.2019 12:00;0,259
11.09.2019 12:00;11.09.2019 13:00;0,473
11.09.2019 13:00;11.09.2019 14:00;0,201
11.09.2019 14:00;11.09.2019 15:00;0,776
11.09.2019 15:00;11.09.2019 16:00;0,867
11.09.2019 16:00;11.09.2019 17:00;0,443
11.09.2019 17:00;11.09.2019 18:00;1,6
11.09.2019 18:00;11.09.2019 19:00;1,149
11.09.2019 19:00;11.09.2019 20:00;1,68
11.09.2019 20:00;11.09.2019 21:00;0,672
11.09.2019 21:00;11.09.2019 22:00;1,584
11.09.2019 22:00;11.09.2019 23:00;0,766
11.09.2019 23:00;12.09.2019 00:00;0,717
12.09.2019 00:00;12.09.2019 01:00;0,247
12.09.2019 01:00;12.09.2019 02:00;0,535
12.09.2019 02:00;12.09.2019 03:00;0,924
12.09.2019 03:00;12.09.2019 04:00;0,631
12.09.2019 04:00;12.09.2019 05:00;0,309
12.09.2019 05:00;12.09.2019 06:00;0,467
12.09.2019 06:00;12.09.2019 07:00;0,753
12.09.2019 07:00;12.09.2019 08:00;2,567
12.09.2019 08:00;12.09.2019 09:00;0,449
12.09.2019 09:00;12.09.2019 10:00;0,222
12.09.2019 10:00;12.09.2019 11:00;0,444
12.09.2019 11:00;12.09.2019 12:00;0,312
12.09.2019 12:00;12.09.2019 13:00;0,274
12.09.2019 13:00;12.09.2019 14:00;0,388
12.09.2019 14:00;12.09.2019 15:00;0,887
12.09.2019 15:00;12.09.2019 16:00;0,672
12.09.2019 16:00;12.09.2019 17:00;0,86
12.09.2019 17:00;12.09.2019 18:00;1,084
12.09.2019 18:00;12.09.2019 19:00;0,953
12.09.2019 19:00;12.09.2019 20:00;2,694
12.09.2019 20:00;12.09.2019 21:00;0,915
12.09.2019 21:00;12.09.2019 22:00;0,722
12.09.2019 22:00;12.09.2019 23:00;0,656
12.09.2019 23:00;13.09.2019 00:00;0,356
13.09.2019 00:00;13.09.2019 01:00;0,432
13.09.2019 01:00;13.09.2019 02:00;1,174
13.09.2019 02:00;13.09.2019 03:00;0,389
13.09.2019 03:00;13.09.2019 04:00;0,342
13.09.2019 04:00;13.09.2019 05:00;0,472
13.09.2019 05:00;13.09.2019 06:00;0,398
13.09.2019 06:00;13.09.2019 07:00;0,321
13.09.2019 07:00;13.09.2019 08:00;0,81
13.09.2019 08:00;13.09.2019 09:00;0,286
13.09.2019 09:00;13.09.2019 10:00;0,378
13.09.2019 10:00;13.09.2019 11:00;1,316
13.09.2019 11:00;13.09.2019 12:00;0,371
13.09.2019 12:00;13.09.2019 13:00;0,32
13.09.2019 13:00;13.09.2019 14:00;0,334
13.09.2019 14:00;13.09.2019 15:00;0,404
13.09.2019 15:00;13.09.2019 16:00;0,247
13.09.2019 16:00;13.09.2019 17:00;0,456
13.09.2019 17:00;13.09.2019 18:00;3,964
13.09.2019 18:00;13.09.2019 19:00;0,63
13.09.2019 19:00;13.09.2019 20:00;1,153
13.09.2019 20:00;13.09.2019 21:00;1,22
13.09.2019 21:00;13.09.2019 22:00;1,079
13.09.2019 22:00;13.09.2019 23:00;0,486
13.09.2019 23:00;14.09.2019 00:00;0,35
14.09.2019 00:00;14.09.2019 01:00;1,335
