Fra;Til;KWH 60 Forbruk
07.10.2019 18:00;07.10.2019 19:00;1,907
07.10.2019 19:00;07.10.2019 20:00;1,595
07.10.2019 20:00;07.10.2019 21:00;3,685
07.10.2019 21:00;07.10.2019 22:00;4,192
07.10.2019 22:00;07.10.2019 23:00;3,557
07.10.2019 23:00;08.10.2019 00:00;1,198
08.10.2019 00:00;08.10.2019 01:00;1,231
08.10.2019 01:00;08.10.2019 02:00;1,348
08.10.2019 02:00;08.10.2019 03:00;1,28
08.10.2019 03:00;08.10.2019 04:00;1,249
08.10.2019 04:00;08.10.2019 05:00;1,193
08.10.2019 05:00;08.10.2019 06:00;1,36
08.10.2019 06:00;08.10.2019 07:00;1,47
08.10.2019 07:00;08.10.2019 08:00;2,426
08.10.2019 08:00;08.10.2019 09:00;1,334
08.10.2019 09:00;08.10.2019 10:00;1,407
08.10.2019 10:00;08.10.2019 11:00;1,432
08.10.2019 11:00;08.10.2019 12:00;1,528
08.10.2019 12:00;08.10.2019 13:00;1,275
08.10.2019 13:00;08.10.2019 14:00;1,431
08.10.2019 14:00;08.10.2019 15:00;1,5
08.10.2019 15:00;08.10.2019 16:00;1,495
08.10.2019 16:00;08.10.2019 17:00;1,923
08.10.2019 17:00;08.10.2019 18:00;2,855
08.10.2019 18:00;08.10.2019 19:00;1,998
08.10.2019 19:00;08.10.2019 20:00;1,779
08.10.2019 20:00;08.10.2019 21:00;2,4
08.10.2019 21:00;08.10.2019 22:00;1,931
08.10.2019 22:00;08.10.2019 23:00;1,339
08.10.2019 23:00;09.10.2019 00:00;1,234
09.10.2019 00:00;09.10.2019 01:00;1,163
09.10.2019 01:00;09.10.2019 02:00;1,177
09.10.2019 02:00;09.10.2019 03:00;1,274
09.10.2019 03:00;09.10.2019 04:00;1,194
09.10.2019 04:00;09.10.2019 05:00;1,709
09.10.2019 05:00;09.10.2019 06:00;1,681
09.10.2019 06:00;09.10.2019 07:00;1,455
09.10.2019 07:00;09.10.2019 08:00;1,445
09.10.2019 08:00;09.10.2019 09:00;1,341
