Fra;Til;KWH 60 Forbruk
10.08.2019 01:00;10.08.2019 02:00;0,201
10.08.2019 02:00;10.08.2019 03:00;0,177
10.08.2019 03:00;10.08.2019 04:00;1,141
10.08.2019 04:00;10.08.2019 05:00;0,255
10.08.2019 05:00;10.08.2019 06:00;0,207
10.08.2019 06:00;10.08.2019 07:00;0,177
10.08.2019 07:00;10.08.2019 08:00;0,924
10.08.2019 08:00;10.08.2019 09:00;0,534
10.08.2019 09:00;10.08.2019 10:00;0,395
10.08.2019 10:00;10.08.2019 11:00;2,343
10.08.2019 11:00;10.08.2019 12:00;0,65
10.08.2019 12:00;10.08.2019 13:00;0,218
10.08.2019 13:00;10.08.2019 14:00;0,158
10.08.2019 14:00;10.08.2019 15:00;0,21
10.08.2019 15:00;10.08.2019 16:00;0,241
10.08.2019 16:00;10.08.2019 17:00;0,798
10.08.2019 17:00;10.08.2019 18:00;2,035
10.08.2019 18:00;10.08.2019 19:00;1,008
10.08.2019 19:00;10.08.2019 20:00;0,898
10.08.2019 20:00;10.08.2019 21:00;0,756
10.08.2019 21:00;10.08.2019 22:00;0,383
10.08.2019 22:00;10.08.2019 23:00;0,905
10.08.2019 23:00;11.08.2019 00:00;0,519
11.08.2019 00:00;11.08.2019 01:00;0,246
11.08.2019 01:00;11.08.2019 02:00;0,241
11.08.2019 02:00;11.08.2019 03:00;0,24
11.08.2019 03:00;11.08.2019 04:00;0,171
11.08.2019 04:00;11.08.2019 05:00;0,175
11.08.2019 05:00;11.08.2019 06:00;0,247
11.08.2019 06:00;11.08.2019 07:00;0,241
11.08.2019 07:00;11.08.2019 08:00;0,201
11.08.2019 08:00;11.08.2019 09:00;1,046
11.08.2019 09:00;11.08.2019 10:00;2,09
11.08.2019 10:00;11.08.2019 11:00;0,401
11.08.2019 11:00;11.08.2019 12:00;0,209
11.08.2019 12:00;11.08.2019 13:00;0,141
11.08.2019 13:00;11.08.2019 14:00;0,393
11.08.2019 14:00;11.08.2019 15:00;0,264
11.08.2019 15:00;11.08.2019 16:00;1,464
11.08.2019 16:00;11.08.2019 17:00;0,327
11.08.2019 17:00;11.08.2019 18:00;1,401
11.08.2019 18:00;11.08.2019 19:00;0,556
11.08.2019 19:00;11.08.2019 20:00;1,879
11.08.2019 20:00;11.08.2019 21:00;0,272
11.08.2019 21:00;11.08.2019 22:00;0,445
11.08.2019 22:00;11.08.2019 23:00;0,49
11.08.2019 23:00;12.08.2019 00:00;1,225
12.08.2019 00:00;12.08.2019 01:00;0,189
12.08.2019 01:00;12.08.2019 02:00;0,241
12.08.2019 02:00;12.08.2019 03:00;0,222
12.08.2019 03:00;12.08.2019 04:00;0,16
12.08.2019 04:00;12.08.2019 05:00;0,199
12.08.2019 05:00;12.08.2019 06:00;0,24
12.08.2019 06:00;12.08.2019 07:00;0,268
12.08.2019 07:00;12.08.2019 08:00;0,536
12.08.2019 08:00;12.08.2019 09:00;1,12
12.08.2019 09:00;12.08.2019 10:00;0,286
12.08.2019 10:00;12.08.2019 11:00;0,214
12.08.2019 11:00;12.08.2019 12:00;0,262
12.08.2019 12:00;12.08.2019 13:00;0,293
12.08.2019 13:00;12.08.2019 14:00;0,257
12.08.2019 14:00;12.08.2019 15:00;0,214
12.08.2019 15:00;12.08.2019 16:00;0,272
