Fra;Til;KWH 60 Forbruk
09.12.2019 00:00;09.12.2019 01:00;1,46
09.12.2019 01:00;09.12.2019 02:00;2,365
09.12.2019 02:00;09.12.2019 03:00;1,403
09.12.2019 03:00;09.12.2019 04:00;1,519
09.12.2019 04:00;09.12.2019 05:00;1,617
09.12.2019 05:00;09.12.2019 06:00;1,616
09.12.2019 06:00;09.12.2019 07:00;1,566
09.12.2019 07:00;09.12.2019 08:00;2,134
09.12.2019 08:00;09.12.2019 09:00;1,632
09.12.2019 09:00;09.12.2019 10:00;1,606
09.12.2019 10:00;09.12.2019 11:00;2,488
09.12.2019 11:00;09.12.2019 12:00;1,708
09.12.2019 12:00;09.12.2019 13:00;1,65
09.12.2019 13:00;09.12.2019 14:00;1,669
09.12.2019 14:00;09.12.2019 15:00;1,741
09.12.2019 15:00;09.12.2019 16:00;1,782
09.12.2019 16:00;09.12.2019 17:00;1,914
09.12.2019 17:00;09.12.2019 18:00;2,723
09.12.2019 18:00;09.12.2019 19:00;2,136
09.12.2019 19:00;09.12.2019 20:00;1,993
09.12.2019 20:00;09.12.2019 21:00;2,135
09.12.2019 21:00;09.12.2019 22:00;2,164
09.12.2019 22:00;09.12.2019 23:00;1,709
09.12.2019 23:00;10.12.2019 00:00;1,727
10.12.2019 00:00;10.12.2019 01:00;1,785
10.12.2019 01:00;10.12.2019 02:00;2,395
10.12.2019 02:00;10.12.2019 03:00;1,947
10.12.2019 03:00;10.12.2019 04:00;1,751
10.12.2019 04:00;10.12.2019 05:00;1,87
10.12.2019 05:00;10.12.2019 06:00;2,058
10.12.2019 06:00;10.12.2019 07:00;2,057
10.12.2019 07:00;10.12.2019 08:00;2,051
10.12.2019 08:00;10.12.2019 09:00;2,328
10.12.2019 09:00;10.12.2019 10:00;4,65
10.12.2019 10:00;10.12.2019 11:00;3,556
10.12.2019 11:00;10.12.2019 12:00;2,493
10.12.2019 12:00;10.12.2019 13:00;2,319
10.12.2019 13:00;10.12.2019 14:00;2,361
10.12.2019 14:00;10.12.2019 15:00;2,436
10.12.2019 15:00;10.12.2019 16:00;2,609
10.12.2019 16:00;10.12.2019 17:00;4,126
10.12.2019 17:00;10.12.2019 18:00;2,779
10.12.2019 18:00;10.12.2019 19:00;2,359
10.12.2019 19:00;10.12.2019 20:00;2,197
10.12.2019 20:00;10.12.2019 21:00;2,39
10.12.2019 21:00;10.12.2019 22:00;2,215
10.12.2019 22:00;10.12.2019 23:00;1,897
10.12.2019 23:00;11.12.2019 00:00;2,749
11.12.2019 00:00;11.12.2019 01:00;1,879
11.12.2019 01:00;11.12.2019 02:00;1,7
11.12.2019 02:00;11.12.2019 03:00;1,755
11.12.2019 03:00;11.12.2019 04:00;1,794
11.12.2019 04:00;11.12.2019 05:00;1,757
11.12.2019 05:00;11.12.2019 06:00;1,809
11.12.2019 06:00;11.12.2019 07:00;1,915
11.12.2019 07:00;11.12.2019 08:00;2,947
11.12.2019 08:00;11.12.2019 09:00;1,637
11.12.2019 09:00;11.12.2019 10:00;1,765
11.12.2019 10:00;11.12.2019 11:00;1,64
11.12.2019 11:00;11.12.2019 12:00;1,582
11.12.2019 12:00;11.12.2019 13:00;1,67
11.12.2019 13:00;11.12.2019 14:00;1,683
11.12.2019 14:00;11.12.2019 15:00;1,493
11.12.2019 15:00;11.12.2019 16:00;2,459
11.12.2019 16:00;11.12.2019 17:00;1,799
11.12.2019 17:00;11.12.2019 18:00;2,375
11.12.2019 18:00;11.12.2019 19:00;1,737
11.12.2019 19:00;11.12.2019 20:00;1,844
11.12.2019 20:00;11.12.2019 21:00;2,119
11.12.2019 21:00;11.12.2019 22:00;4,716
11.12.2019 22:00;11.12.2019 23:00;3,727
11.12.2019 23:00;12.12.2019 00:00;1,4
12.12.2019 00:00;12.12.2019 01:00;1,431
12.12.2019 01:00;12.12.2019 02:00;1,468
12.12.2019 02:00;12.12.2019 03:00;1,561
12.12.2019 03:00;12.12.2019 04:00;1,539
