Fra,Til,KWH 60 Forbruk
11.10.2021 00:00,11.10.2021 01:00,"0,352"
11.10.2021 01:00,11.10.2021 02:00,"0,373"
11.10.2021 02:00,11.10.2021 03:00,"1,116"
11.10.2021 03:00,11.10.2021 04:00,"0,278"
11.10.2021 04:00,11.10.2021 05:00,"0,221"
11.10.2021 05:00,11.10.2021 06:00,"0,312"
11.10.2021 06:00,11.10.2021 07:00,"1,429"
11.10.2021 07:00,11.10.2021 08:00,"1,811"
11.10.2021 08:00,11.10.2021 09:00,"0,748"
11.10.2021 09:00,11.10.2021 10:00,"0,346"
11.10.2021 10:00,11.10.2021 11:00,"1,15"
11.10.2021 11:00,11.10.2021 12:00,"0,768"
11.10.2021 12:00,11.10.2021 13:00,"1,528"
11.10.2021 13:00,11.10.2021 14:00,"2,583"
11.10.2021 14:00,11.10.2021 15:00,"1,673"
11.10.2021 15:00,11.10.2021 16:00,"1,199"
11.10.2021 16:00,11.10.2021 17:00,"3,007"
11.10.2021 17:00,11.10.2021 18:00,"1,689"
11.10.2021 18:00,11.10.2021 19:00,"1,433"
11.10.2021 19:00,11.10.2021 20:00,"2,697"
11.10.2021 20:00,11.10.2021 21:00,"1,465"
11.10.2021 21:00,11.10.2021 22:00,"1,119"
11.10.2021 22:00,11.10.2021 23:00,"1,331"
11.10.2021 23:00,12.10.2021 00:00,"0,613"
12.10.2021 00:00,12.10.2021 01:00,"0,336"
12.10.2021 01:00,12.10.2021 02:00,"0,27"
12.10.2021 02:00,12.10.2021 03:00,"0,477"
12.10.2021 03:00,12.10.2021 04:00,"1,138"
12.10.2021 04:00,12.10.2021 05:00,"0,341"
12.10.2021 05:00,12.10.2021 06:00,"0,354"
12.10.2021 06:00,12.10.2021 07:00,"0,969"
12.10.2021 07:00,12.10.2021 08:00,"2,653"
12.10.2021 08:00,12.10.2021 09:00,"1,183"
12.10.2021 09:00,12.10.2021 10:00,"1,211"
12.10.2021 10:00,12.10.2021 11:00,"1,782"
12.10.2021 11:00,12.10.2021 12:00,"0,566"
12.10.2021 12:00,12.10.2021 13:00,"0,569"
12.10.2021 13:00,12.10.2021 14:00,"0,544"
12.10.2021 14:00,12.10.2021 15:00,"1,318"
12.10.2021 15:00,12.10.2021 16:00,"1,008"
12.10.2021 16:00,12.10.2021 17:00,"1,54"
12.10.2021 17:00,12.10.2021 18:00,"1,059"
12.10.2021 18:00,12.10.2021 19:00,"0,925"
12.10.2021 19:00,12.10.2021 20:00,"1,285"
12.10.2021 20:00,12.10.2021 21:00,"3,291"
12.10.2021 21:00,12.10.2021 22:00,"2,325"
12.10.2021 22:00,12.10.2021 23:00,"0,559"
12.10.2021 23:00,13.10.2021 00:00,"0,319"
13.10.2021 00:00,13.10.2021 01:00,"0,303"
13.10.2021 01:00,13.10.2021 02:00,"1,052"
13.10.2021 02:00,13.10.2021 03:00,"0,336"
13.10.2021 03:00,13.10.2021 04:00,"0,337"
13.10.2021 04:00,13.10.2021 05:00,"0,342"
13.10.2021 05:00,13.10.2021 06:00,"1,128"
13.10.2021 06:00,13.10.2021 07:00,"0,344"
13.10.2021 07:00,13.10.2021 08:00,"1,761"
13.10.2021 08:00,13.10.2021 09:00,"2,27"
13.10.2021 09:00,13.10.2021 10:00,"1,23"
13.10.2021 10:00,13.10.2021 11:00,"1,264"
13.10.2021 11:00,13.10.2021 12:00,"1,678"
13.10.2021 12:00,13.10.2021 13:00,"1,665"
13.10.2021 13:00,13.10.2021 14:00,"1,293"
13.10.2021 14:00,13.10.2021 15:00,"1,245"
13.10.2021 15:00,13.10.2021 16:00,"1,01"
13.10.2021 16:00,13.10.2021 17:00,"2,036"
13.10.2021 17:00,13.10.2021 18:00,"1,201"
13.10.2021 18:00,13.10.2021 19:00,"1,424"
13.10.2021 19:00,13.10.2021 20:00,"2,371"
13.10.2021 20:00,13.10.2021 21:00,"1,464"
13.10.2021 21:00,13.10.2021 22:00,"2,413"
13.10.2021 22:00,13.10.2021 23:00,"1,206"
13.10.2021 23:00,14.10.2021 00:00,"0,475"
14.10.2021 00:00,14.10.2021 01:00,"0,463"
14.10.2021 01:00,14.10.2021 02:00,"1,264"
14.10.2021 02:00,14.10.2021 03:00,"0,346"
14.10.2021 03:00,14.10.2021 04:00,"0,262"
14.10.2021 04:00,14.10.2021 05:00,"0,816"
14.10.2021 05:00,14.10.2021 06:00,"1,837"
14.10.2021 06:00,14.10.2021 07:00,"1,25"
14.10.2021 07:00,14.10.2021 08:00,"1,39"
14.10.2021 08:00,14.10.2021 09:00,"2,134"
14.10.2021 09:00,14.10.2021 10:00,"1,344"
14.10.2021 10:00,14.10.2021 11:00,"1,492"
14.10.2021 11:00,14.10.2021 12:00,"1,405"
14.10.2021 12:00,14.10.2021 13:00,"2,379"
14.10.2021 13:00,14.10.2021 14:00,"1,446"
14.10.2021 14:00,14.10.2021 15:00,"1,414"
14.10.2021 15:00,14.10.2021 16:00,"1,655"
14.10.2021 16:00,14.10.2021 17:00,"3,073"
14.10.2021 17:00,14.10.2021 18:00,"1,165"
14.10.2021 18:00,14.10.2021 19:00,"2,186"
14.10.2021 19:00,14.10.2021 20:00,"1,417"
14.10.2021 20:00,14.10.2021 21:00,"0,814"
14.10.2021 21:00,14.10.2021 22:00,"1,325"
14.10.2021 22:00,14.10.2021 23:00,"1,502"
14.10.2021 23:00,15.10.2021 00:00,"0,718"
15.10.2021 00:00,15.10.2021 01:00,"0,334"
15.10.2021 01:00,15.10.2021 02:00,"0,331"
15.10.2021 02:00,15.10.2021 03:00,"0,724"
15.10.2021 03:00,15.10.2021 04:00,"0,674"
15.10.2021 04:00,15.10.2021 05:00,"0,341"
15.10.2021 05:00,15.10.2021 06:00,"0,33"
15.10.2021 06:00,15.10.2021 07:00,"0,743"
15.10.2021 07:00,15.10.2021 08:00,"1,796"
15.10.2021 08:00,15.10.2021 09:00,"1,103"
15.10.2021 09:00,15.10.2021 10:00,"1,311"
15.10.2021 10:00,15.10.2021 11:00,"2,262"
15.10.2021 11:00,15.10.2021 12:00,"1,338"
15.10.2021 12:00,15.10.2021 13:00,"2,423"
15.10.2021 13:00,15.10.2021 14:00,"2,597"
15.10.2021 14:00,15.10.2021 15:00,"1,634"
15.10.2021 15:00,15.10.2021 16:00,"1,896"
15.10.2021 16:00,15.10.2021 17:00,"2,623"
15.10.2021 17:00,15.10.2021 18:00,"1,709"
15.10.2021 18:00,15.10.2021 19:00,"1,498"
15.10.2021 19:00,15.10.2021 20:00,"2,052"
15.10.2021 20:00,15.10.2021 21:00,"2,326"
15.10.2021 21:00,15.10.2021 22:00,"1,239"
15.10.2021 22:00,15.10.2021 23:00,"1,043"
15.10.2021 23:00,16.10.2021 00:00,"0,899"
16.10.2021 00:00,16.10.2021 01:00,"1,239"
16.10.2021 01:00,16.10.2021 02:00,"0,412"
16.10.2021 02:00,16.10.2021 03:00,"0,34"
16.10.2021 03:00,16.10.2021 04:00,"0,359"
16.10.2021 04:00,16.10.2021 05:00,"1,227"
16.10.2021 05:00,16.10.2021 06:00,"0,426"
16.10.2021 06:00,16.10.2021 07:00,"0,758"
16.10.2021 07:00,16.10.2021 08:00,"2,264"
16.10.2021 08:00,16.10.2021 09:00,"2,167"
16.10.2021 09:00,16.10.2021 10:00,"1,478"
16.10.2021 10:00,16.10.2021 11:00,"1,782"
16.10.2021 11:00,16.10.2021 12:00,"2,115"
16.10.2021 12:00,16.10.2021 13:00,"0,77"
16.10.2021 13:00,16.10.2021 14:00,"1,229"
16.10.2021 14:00,16.10.2021 15:00,"1,388"
16.10.2021 15:00,16.10.2021 16:00,"1,398"
16.10.2021 16:00,16.10.2021 17:00,"1,227"
16.10.2021 17:00,16.10.2021 18:00,"0,908"
16.10.2021 18:00,16.10.2021 19:00,"1,736"
16.10.2021 19:00,16.10.2021 20:00,"0,903"
16.10.2021 20:00,16.10.2021 21:00,"0,992"
16.10.2021 21:00,16.10.2021 22:00,"0,894"
16.10.2021 22:00,16.10.2021 23:00,"1,713"
16.10.2021 23:00,17.10.2021 00:00,"0,457"
17.10.2021 00:00,17.10.2021 01:00,"0,438"
17.10.2021 01:00,17.10.2021 02:00,"0,36"
17.10.2021 02:00,17.10.2021 03:00,"1,179"
17.10.2021 03:00,17.10.2021 04:00,"0,377"
17.10.2021 04:00,17.10.2021 05:00,"0,461"
17.10.2021 05:00,17.10.2021 06:00,"0,922"
17.10.2021 06:00,17.10.2021 07:00,"2,28"
17.10.2021 07:00,17.10.2021 08:00,"1,539"
17.10.2021 08:00,17.10.2021 09:00,"3,434"
17.10.2021 09:00,17.10.2021 10:00,"1,685"
17.10.2021 10:00,17.10.2021 11:00,"1,438"
17.10.2021 11:00,17.10.2021 12:00,"1,231"
17.10.2021 12:00,17.10.2021 13:00,"1,657"
17.10.2021 13:00,17.10.2021 14:00,"0,449"
17.10.2021 14:00,17.10.2021 15:00,"0,347"
17.10.2021 15:00,17.10.2021 16:00,"1,26"
17.10.2021 16:00,17.10.2021 17:00,"0,363"
17.10.2021 17:00,17.10.2021 18:00,"0,325"
17.10.2021 18:00,17.10.2021 19:00,"0,985"
17.10.2021 19:00,17.10.2021 20:00,"1,716"
17.10.2021 20:00,17.10.2021 21:00,"0,945"
17.10.2021 21:00,17.10.2021 22:00,"1,567"
17.10.2021 22:00,17.10.2021 23:00,"1,032"
17.10.2021 23:00,18.10.2021 00:00,"1,51"
18.10.2021 00:00,18.10.2021 01:00,"0,41"
18.10.2021 01:00,18.10.2021 02:00,"0,358"
18.10.2021 02:00,18.10.2021 03:00,"0,357"
18.10.2021 03:00,18.10.2021 04:00,"1,226"
18.10.2021 04:00,18.10.2021 05:00,"0,369"
18.10.2021 05:00,18.10.2021 06:00,"0,403"
18.10.2021 06:00,18.10.2021 07:00,"1,716"
18.10.2021 07:00,18.10.2021 08:00,"2,859"
18.10.2021 08:00,18.10.2021 09:00,"1,798"
18.10.2021 09:00,18.10.2021 10:00,"1,673"
18.10.2021 10:00,18.10.2021 11:00,"1,965"
18.10.2021 11:00,18.10.2021 12:00,"2,567"
18.10.2021 12:00,18.10.2021 13:00,"1,831"
18.10.2021 13:00,18.10.2021 14:00,"1,469"
18.10.2021 14:00,18.10.2021 15:00,"1,474"
18.10.2021 15:00,18.10.2021 16:00,"3,506"
18.10.2021 16:00,18.10.2021 17:00,"2,238"
18.10.2021 17:00,18.10.2021 18:00,"2,335"
18.10.2021 18:00,18.10.2021 19:00,"1,623"
18.10.2021 19:00,18.10.2021 20:00,"1,454"
18.10.2021 20:00,18.10.2021 21:00,"2,59"
18.10.2021 21:00,18.10.2021 22:00,"2,584"
18.10.2021 22:00,18.10.2021 23:00,"2,081"
18.10.2021 23:00,19.10.2021 00:00,"0,715"
19.10.2021 00:00,19.10.2021 01:00,"0,847"
19.10.2021 01:00,19.10.2021 02:00,"1,303"
19.10.2021 02:00,19.10.2021 03:00,"1,427"
19.10.2021 03:00,19.10.2021 04:00,"0,781"
19.10.2021 04:00,19.10.2021 05:00,"0,764"
19.10.2021 05:00,19.10.2021 06:00,"1,159"
19.10.2021 06:00,19.10.2021 07:00,"1,486"
19.10.2021 07:00,19.10.2021 08:00,"1,805"
19.10.2021 08:00,19.10.2021 09:00,"0,494"
19.10.2021 09:00,19.10.2021 10:00,"0,842"
19.10.2021 10:00,19.10.2021 11:00,"1,303"
19.10.2021 11:00,19.10.2021 12:00,"0,339"
19.10.2021 12:00,19.10.2021 13:00,"0,332"
19.10.2021 13:00,19.10.2021 14:00,"0,856"
19.10.2021 14:00,19.10.2021 15:00,"2,281"
19.10.2021 15:00,19.10.2021 16:00,"1,534"
19.10.2021 16:00,19.10.2021 17:00,"1,54"
19.10.2021 17:00,19.10.2021 18:00,"2,223"
19.10.2021 18:00,19.10.2021 19:00,"1,452"
19.10.2021 19:00,19.10.2021 20:00,"1,681"
19.10.2021 20:00,19.10.2021 21:00,"2,787"
19.10.2021 21:00,19.10.2021 22:00,"1,413"
19.10.2021 22:00,19.10.2021 23:00,"1,155"
19.10.2021 23:00,20.10.2021 00:00,"1,782"
20.10.2021 00:00,20.10.2021 01:00,"0,837"
20.10.2021 01:00,20.10.2021 02:00,"0,88"
20.10.2021 02:00,20.10.2021 03:00,"0,865"
20.10.2021 03:00,20.10.2021 04:00,"1,527"
20.10.2021 04:00,20.10.2021 05:00,"0,769"
20.10.2021 05:00,20.10.2021 06:00,"0,743"
20.10.2021 06:00,20.10.2021 07:00,"1,173"
20.10.2021 07:00,20.10.2021 08:00,"2,234"
20.10.2021 08:00,20.10.2021 09:00,"0,759"
20.10.2021 09:00,20.10.2021 10:00,"0,417"
20.10.2021 10:00,20.10.2021 11:00,"1,626"
20.10.2021 11:00,20.10.2021 12:00,"1,042"
20.10.2021 12:00,20.10.2021 13:00,"1,771"
20.10.2021 13:00,20.10.2021 14:00,"0,725"
20.10.2021 14:00,20.10.2021 15:00,"1,95"
20.10.2021 15:00,20.10.2021 16:00,"1,951"
20.10.2021 16:00,20.10.2021 17:00,"1,605"
20.10.2021 17:00,20.10.2021 18:00,"1,36"
20.10.2021 18:00,20.10.2021 19:00,"2,104"
20.10.2021 19:00,20.10.2021 20:00,"1,296"
20.10.2021 20:00,20.10.2021 21:00,"1,16"
20.10.2021 21:00,20.10.2021 22:00,"1,048"
20.10.2021 22:00,20.10.2021 23:00,"1,743"
20.10.2021 23:00,21.10.2021 00:00,"0,767"
21.10.2021 00:00,21.10.2021 01:00,"0,744"
21.10.2021 01:00,21.10.2021 02:00,"0,747"
21.10.2021 02:00,21.10.2021 03:00,"1,591"
21.10.2021 03:00,21.10.2021 04:00,"0,763"
21.10.2021 04:00,21.10.2021 05:00,"0,766"
21.10.2021 05:00,21.10.2021 06:00,"0,769"
21.10.2021 06:00,21.10.2021 07:00,"2,297"
21.10.2021 07:00,21.10.2021 08:00,"2,023"
21.10.2021 08:00,21.10.2021 09:00,"0,931"
21.10.2021 09:00,21.10.2021 10:00,"0,916"
21.10.2021 10:00,21.10.2021 11:00,"1,203"
21.10.2021 11:00,21.10.2021 12:00,"1,364"
21.10.2021 12:00,21.10.2021 13:00,"1,365"
21.10.2021 13:00,21.10.2021 14:00,"1,406"
21.10.2021 14:00,21.10.2021 15:00,"1,374"
21.10.2021 15:00,21.10.2021 16:00,"2,634"
21.10.2021 16:00,21.10.2021 17:00,"1,977"
