Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (døgn)
Kise Pa Hedmark;SN12550;14.06.2020;9,8
Kise Pa Hedmark;SN12550;15.06.2020;9,1
Kise Pa Hedmark;SN12550;16.06.2020;14,4
Kise Pa Hedmark;SN12550;17.06.2020;14,1
Kise Pa Hedmark;SN12550;18.06.2020;12
Kise Pa Hedmark;SN12550;19.06.2020;13,6
Kise Pa Hedmark;SN12550;20.06.2020;15,8
Kise Pa Hedmark;SN12550;21.06.2020;16,9
Kise Pa Hedmark;SN12550;22.06.2020;12,3
Kise Pa Hedmark;SN12550;23.06.2020;10,3
Kise Pa Hedmark;SN12550;24.06.2020;12,7
Kise Pa Hedmark;SN12550;25.06.2020;14,1
Kise Pa Hedmark;SN12550;26.06.2020;12,9
Kise Pa Hedmark;SN12550;27.06.2020;12,6
Kise Pa Hedmark;SN12550;28.06.2020;16
Kise Pa Hedmark;SN12550;29.06.2020;12,9
Kise Pa Hedmark;SN12550;30.06.2020;9,8
Kise Pa Hedmark;SN12550;01.07.2020;8,6
Kise Pa Hedmark;SN12550;01.01.2021;-3
Kise Pa Hedmark;SN12550;02.01.2021;-2
Kise Pa Hedmark;SN12550;03.01.2021;-11,6
Kise Pa Hedmark;SN12550;04.01.2021;-10
Kise Pa Hedmark;SN12550;05.01.2021;-14,4
Kise Pa Hedmark;SN12550;06.01.2021;-18,4
Kise Pa Hedmark;SN12550;07.01.2021;-11,6
Kise Pa Hedmark;SN12550;08.01.2021;-11,4
Kise Pa Hedmark;SN12550;09.01.2021;-17,6
Kise Pa Hedmark;SN12550;10.01.2021;-14,9
Kise Pa Hedmark;SN12550;11.01.2021;-15,3
Kise Pa Hedmark;SN12550;12.01.2021;-16,9
Kise Pa Hedmark;SN12550;13.01.2021;-9
Kise Pa Hedmark;SN12550;14.01.2021;-12,1
Kise Pa Hedmark;SN12550;15.01.2021;-16,3
Kise Pa Hedmark;SN12550;16.01.2021;-17,1
Kise Pa Hedmark;SN12550;17.01.2021;-17,8
Kise Pa Hedmark;SN12550;18.01.2021;-11,4
Kise Pa Hedmark;SN12550;19.01.2021;-9,5
Kise Pa Hedmark;SN12550;20.01.2021;-4,8
Kise Pa Hedmark;SN12550;21.01.2021;-0,2
Kise Pa Hedmark;SN12550;22.01.2021;1,2
Kise Pa Hedmark;SN12550;23.01.2021;-1,4
Kise Pa Hedmark;SN12550;24.01.2021;-9,3
Kise Pa Hedmark;SN12550;25.01.2021;-11,4
Kise Pa Hedmark;SN12550;26.01.2021;-14,6
Kise Pa Hedmark;SN12550;27.01.2021;-13,2
Kise Pa Hedmark;SN12550;28.01.2021;-15,1
Kise Pa Hedmark;SN12550;29.01.2021;-18,1
Kise Pa Hedmark;SN12550;30.01.2021;-19,3
Kise Pa Hedmark;SN12550;31.01.2021;-16
Kise Pa Hedmark;SN12550;01.02.2021;-18,6
Kise Pa Hedmark;SN12550;02.02.2021;-18,7
Kise Pa Hedmark;SN12550;03.02.2021;-13,5
Kise Pa Hedmark;SN12550;04.02.2021;-14,5
Kise Pa Hedmark;SN12550;05.02.2021;-13,9
Kise Pa Hedmark;SN12550;06.02.2021;-13,3
Kise Pa Hedmark;SN12550;07.02.2021;-13,9
Kise Pa Hedmark;SN12550;08.02.2021;-13,3
Kise Pa Hedmark;SN12550;09.02.2021;-12,4
Kise Pa Hedmark;SN12550;10.02.2021;-14
Kise Pa Hedmark;SN12550;11.02.2021;-15,6
Kise Pa Hedmark;SN12550;12.02.2021;-15,2
Kise Pa Hedmark;SN12550;13.02.2021;-17,6
Kise Pa Hedmark;SN12550;14.02.2021;-16,3
Kise Pa Hedmark;SN12550;15.02.2021;-18,5
Kise Pa Hedmark;SN12550;16.02.2021;-9,7
Kise Pa Hedmark;SN12550;17.02.2021;-5,3
Kise Pa Hedmark;SN12550;18.02.2021;-4,1
Kise Pa Hedmark;SN12550;19.02.2021;-3,1
Kise Pa Hedmark;SN12550;20.02.2021;-1,9
Kise Pa Hedmark;SN12550;21.02.2021;0,6
Kise Pa Hedmark;SN12550;22.02.2021;0,6
Kise Pa Hedmark;SN12550;23.02.2021;-0,3
Kise Pa Hedmark;SN12550;24.02.2021;0
Kise Pa Hedmark;SN12550;25.02.2021;0,2
Kise Pa Hedmark;SN12550;26.02.2021;-2,3
Kise Pa Hedmark;SN12550;27.02.2021;-2
Kise Pa Hedmark;SN12550;28.02.2021;-2,5
Kise Pa Hedmark;SN12550;01.03.2021;-3,5
Kise Pa Hedmark;SN12550;02.03.2021;-2,4
Kise Pa Hedmark;SN12550;03.03.2021;-5,2
Kise Pa Hedmark;SN12550;04.03.2021;-3,3
Kise Pa Hedmark;SN12550;05.03.2021;-4,8
Kise Pa Hedmark;SN12550;06.03.2021;-2,9
Kise Pa Hedmark;SN12550;07.03.2021;-2
Kise Pa Hedmark;SN12550;08.03.2021;-6,5
Kise Pa Hedmark;SN12550;09.03.2021;-3,4
Kise Pa Hedmark;SN12550;10.03.2021;-4,2
Kise Pa Hedmark;SN12550;11.03.2021;-3,3
Kise Pa Hedmark;SN12550;12.03.2021;-7,3
Kise Pa Hedmark;SN12550;13.03.2021;-6,9
Kise Pa Hedmark;SN12550;14.03.2021;-3,9
Kise Pa Hedmark;SN12550;15.03.2021;-5,7
Kise Pa Hedmark;SN12550;16.03.2021;-4,5
Kise Pa Hedmark;SN12550;17.03.2021;-5,5
Kise Pa Hedmark;SN12550;18.03.2021;-2,9
Kise Pa Hedmark;SN12550;19.03.2021;-1,6
Kise Pa Hedmark;SN12550;20.03.2021;-2,9
Kise Pa Hedmark;SN12550;21.03.2021;1,2
Kise Pa Hedmark;SN12550;22.03.2021;-1,2
Kise Pa Hedmark;SN12550;23.03.2021;-2,1
Kise Pa Hedmark;SN12550;24.03.2021;2,3
Kise Pa Hedmark;SN12550;25.03.2021;-1,1
Kise Pa Hedmark;SN12550;26.03.2021;-2,5
Kise Pa Hedmark;SN12550;27.03.2021;0,9
Kise Pa Hedmark;SN12550;28.03.2021;-4,7
Kise Pa Hedmark;SN12550;29.03.2021;0,7
Kise Pa Hedmark;SN12550;30.03.2021;1,9
Kise Pa Hedmark;SN12550;31.03.2021;2,7
Kise Pa Hedmark;SN12550;01.04.2021;-3,1
Kise Pa Hedmark;SN12550;02.04.2021;3,1
Kise Pa Hedmark;SN12550;03.04.2021;-2,5
Kise Pa Hedmark;SN12550;04.04.2021;-1,9
Kise Pa Hedmark;SN12550;05.04.2021;-2,6
Kise Pa Hedmark;SN12550;06.04.2021;0,3
Kise Pa Hedmark;SN12550;07.04.2021;-2,9
Kise Pa Hedmark;SN12550;08.04.2021;-6,8
Kise Pa Hedmark;SN12550;09.04.2021;-0,2
Kise Pa Hedmark;SN12550;10.04.2021;-4,8
Kise Pa Hedmark;SN12550;11.04.2021;-5,1
Kise Pa Hedmark;SN12550;12.04.2021;0,4
Kise Pa Hedmark;SN12550;13.04.2021;0,8
Kise Pa Hedmark;SN12550;14.04.2021;-4,4
Kise Pa Hedmark;SN12550;15.04.2021;-2,5
Kise Pa Hedmark;SN12550;16.04.2021;-1,4
Kise Pa Hedmark;SN12550;17.04.2021;0,2
Kise Pa Hedmark;SN12550;18.04.2021;-1,7
Kise Pa Hedmark;SN12550;19.04.2021;-2,3
Kise Pa Hedmark;SN12550;20.04.2021;-2,9
Kise Pa Hedmark;SN12550;21.04.2021;5
Kise Pa Hedmark;SN12550;22.04.2021;-0,2
Kise Pa Hedmark;SN12550;23.04.2021;1
Kise Pa Hedmark;SN12550;24.04.2021;-4,1
Kise Pa Hedmark;SN12550;25.04.2021;-4,2
Kise Pa Hedmark;SN12550;26.04.2021;-1,4
Kise Pa Hedmark;SN12550;27.04.2021;-4
Kise Pa Hedmark;SN12550;28.04.2021;-2,6
Kise Pa Hedmark;SN12550;29.04.2021;1,2
Kise Pa Hedmark;SN12550;30.04.2021;-5
Kise Pa Hedmark;SN12550;01.05.2021;-3,9
Kise Pa Hedmark;SN12550;02.05.2021;-0,9
Kise Pa Hedmark;SN12550;03.05.2021;0
Kise Pa Hedmark;SN12550;04.05.2021;1,1
Kise Pa Hedmark;SN12550;05.05.2021;2,8
Kise Pa Hedmark;SN12550;06.05.2021;0,6
Kise Pa Hedmark;SN12550;07.05.2021;-3,6
Kise Pa Hedmark;SN12550;08.05.2021;0,1
Kise Pa Hedmark;SN12550;09.05.2021;4,1
Kise Pa Hedmark;SN12550;10.05.2021;4,4
Kise Pa Hedmark;SN12550;11.05.2021;6,3
Kise Pa Hedmark;SN12550;12.05.2021;5,4
Kise Pa Hedmark;SN12550;13.05.2021;6,4
Kise Pa Hedmark;SN12550;14.05.2021;6,4
Kise Pa Hedmark;SN12550;15.05.2021;7,2
Kise Pa Hedmark;SN12550;16.05.2021;6,6
Kise Pa Hedmark;SN12550;17.05.2021;6,1
Kise Pa Hedmark;SN12550;18.05.2021;5,1
Kise Pa Hedmark;SN12550;19.05.2021;5,2
Kise Pa Hedmark;SN12550;20.05.2021;7,5
Kise Pa Hedmark;SN12550;21.05.2021;4,2
Kise Pa Hedmark;SN12550;22.05.2021;5,7
Kise Pa Hedmark;SN12550;23.05.2021;6,7
Kise Pa Hedmark;SN12550;24.05.2021;7,7
Kise Pa Hedmark;SN12550;25.05.2021;7,2
Kise Pa Hedmark;SN12550;26.05.2021;8,8
Kise Pa Hedmark;SN12550;27.05.2021;5,7
Kise Pa Hedmark;SN12550;28.05.2021;5,3
Kise Pa Hedmark;SN12550;29.05.2021;5,3
Kise Pa Hedmark;SN12550;30.05.2021;7,7
Kise Pa Hedmark;SN12550;31.05.2021;8,7
Kise Pa Hedmark;SN12550;01.06.2021;8,6
Kise Pa Hedmark;SN12550;02.06.2021;7,4
Kise Pa Hedmark;SN12550;03.06.2021;11,7
Kise Pa Hedmark;SN12550;04.06.2021;7,3
Kise Pa Hedmark;SN12550;05.06.2021;9,5
Kise Pa Hedmark;SN12550;06.06.2021;11,8
Kise Pa Hedmark;SN12550;07.06.2021;13,3
Kise Pa Hedmark;SN12550;08.06.2021;13,7
Kise Pa Hedmark;SN12550;09.06.2021;11,9
Kise Pa Hedmark;SN12550;10.06.2021;12,3
Kise Pa Hedmark;SN12550;11.06.2021;14,9
Kise Pa Hedmark;SN12550;12.06.2021;9,4
Kise Pa Hedmark;SN12550;13.06.2021;5,5
Kise Pa Hedmark;SN12550;14.06.2021;10,5
Kise Pa Hedmark;SN12550;15.06.2021;6,6
Kise Pa Hedmark;SN12550;16.06.2021;6,9
Kise Pa Hedmark;SN12550;17.06.2021;10
Kise Pa Hedmark;SN12550;18.06.2021;14,9
Kise Pa Hedmark;SN12550;19.06.2021;12,1
Kise Pa Hedmark;SN12550;20.06.2021;12,3
Kise Pa Hedmark;SN12550;21.06.2021;13,6
Kise Pa Hedmark;SN12550;22.06.2021;11,4
Kise Pa Hedmark;SN12550;23.06.2021;9,9
Kise Pa Hedmark;SN12550;24.06.2021;10,6
Kise Pa Hedmark;SN12550;25.06.2021;10,3
Kise Pa Hedmark;SN12550;26.06.2021;13,5
Kise Pa Hedmark;SN12550;27.06.2021;15,7
Kise Pa Hedmark;SN12550;28.06.2021;12,2
Kise Pa Hedmark;SN12550;29.06.2021;11,5
Kise Pa Hedmark;SN12550;30.06.2021;11,7
Kise Pa Hedmark;SN12550;01.07.2021;7,8
Bergen - Florida;SN50540;01.01.1957;0,5
Bergen - Florida;SN50540;02.01.1957;-3
Bergen - Florida;SN50540;03.01.1957;-2
Bergen - Florida;SN50540;04.01.1957;1,5
Bergen - Florida;SN50540;05.01.1957;1,8
Bergen - Florida;SN50540;06.01.1957;0,9
Bergen - Florida;SN50540;07.01.1957;3,5
Bergen - Florida;SN50540;08.01.1957;5,8
Bergen - Florida;SN50540;09.01.1957;2,8
Bergen - Florida;SN50540;10.01.1957;-0,8
Bergen - Florida;SN50540;11.01.1957;-1,6
Bergen - Florida;SN50540;12.01.1957;2,8
Bergen - Florida;SN50540;13.01.1957;-0,2
Bergen - Florida;SN50540;14.01.1957;-5
Bergen - Florida;SN50540;15.01.1957;-2,3
Bergen - Florida;SN50540;16.01.1957;0,4
Bergen - Florida;SN50540;17.01.1957;-0,7
Bergen - Florida;SN50540;18.01.1957;0,7
Bergen - Florida;SN50540;19.01.1957;3,2
Bergen - Florida;SN50540;20.01.1957;2,6
Bergen - Florida;SN50540;21.01.1957;1
Bergen - Florida;SN50540;22.01.1957;1,1
Bergen - Florida;SN50540;23.01.1957;1
Bergen - Florida;SN50540;24.01.1957;3,2
Bergen - Florida;SN50540;25.01.1957;1,3
Bergen - Florida;SN50540;26.01.1957;1,3
Bergen - Florida;SN50540;27.01.1957;0,2
Bergen - Florida;SN50540;28.01.1957;1
Bergen - Florida;SN50540;29.01.1957;3,1
Bergen - Florida;SN50540;30.01.1957;-1
Bergen - Florida;SN50540;31.01.1957;4
Bergen - Florida;SN50540;01.02.1957;5
Bergen - Florida;SN50540;02.02.1957;0
Bergen - Florida;SN50540;03.02.1957;3
Bergen - Florida;SN50540;04.02.1957;3,8
Bergen - Florida;SN50540;05.02.1957;4,6
Bergen - Florida;SN50540;06.02.1957;4,5
Bergen - Florida;SN50540;07.02.1957;2,7
Bergen - Florida;SN50540;08.02.1957;1,5
Bergen - Florida;SN50540;09.02.1957;2,8
Bergen - Florida;SN50540;10.02.1957;1,2
Bergen - Florida;SN50540;11.02.1957;-2,7
Bergen - Florida;SN50540;12.02.1957;-1,3
Bergen - Florida;SN50540;13.02.1957;-0,8
Bergen - Florida;SN50540;14.02.1957;-2,8
Bergen - Florida;SN50540;15.02.1957;-0,7
Bergen - Florida;SN50540;16.02.1957;-1,1
Bergen - Florida;SN50540;17.02.1957;-0,6
Bergen - Florida;SN50540;18.02.1957;-0,3
Bergen - Florida;SN50540;19.02.1957;0,4
Bergen - Florida;SN50540;20.02.1957;0
Bergen - Florida;SN50540;21.02.1957;-4
Bergen - Florida;SN50540;22.02.1957;-3,9
Bergen - Florida;SN50540;23.02.1957;-4
Bergen - Florida;SN50540;24.02.1957;-3,3
Bergen - Florida;SN50540;25.02.1957;-5,6
Bergen - Florida;SN50540;26.02.1957;-3,2
Bergen - Florida;SN50540;27.02.1957;-3,7
Bergen - Florida;SN50540;28.02.1957;-2,7
Bergen - Florida;SN50540;01.03.1957;1,9
Bergen - Florida;SN50540;02.03.1957;1,7
Bergen - Florida;SN50540;03.03.1957;1,2
Bergen - Florida;SN50540;04.03.1957;-0,6
Bergen - Florida;SN50540;05.03.1957;-1,2
Bergen - Florida;SN50540;06.03.1957;-0,9
Bergen - Florida;SN50540;07.03.1957;3,4
Bergen - Florida;SN50540;08.03.1957;3,4
Bergen - Florida;SN50540;09.03.1957;3,5
Bergen - Florida;SN50540;10.03.1957;6,4
Bergen - Florida;SN50540;11.03.1957;6,5
Bergen - Florida;SN50540;12.03.1957;7
Bergen - Florida;SN50540;13.03.1957;7,3
Bergen - Florida;SN50540;14.03.1957;2,8
Bergen - Florida;SN50540;15.03.1957;0,2
Bergen - Florida;SN50540;16.03.1957;-2,2
Bergen - Florida;SN50540;17.03.1957;-1,6
Bergen - Florida;SN50540;18.03.1957;-0,3
Bergen - Florida;SN50540;19.03.1957;0,2
Bergen - Florida;SN50540;20.03.1957;3
Bergen - Florida;SN50540;21.03.1957;1
Bergen - Florida;SN50540;22.03.1957;1,9
Bergen - Florida;SN50540;23.03.1957;1,4
Bergen - Florida;SN50540;24.03.1957;0,4
Bergen - Florida;SN50540;25.03.1957;0,4
Bergen - Florida;SN50540;26.03.1957;2,6
Bergen - Florida;SN50540;27.03.1957;6,3
Bergen - Florida;SN50540;28.03.1957;4,3
Bergen - Florida;SN50540;29.03.1957;5,5
Bergen - Florida;SN50540;30.03.1957;3,7
Bergen - Florida;SN50540;31.03.1957;1
Bergen - Florida;SN50540;01.04.1957;1,9
Bergen - Florida;SN50540;02.04.1957;-0,1
Bergen - Florida;SN50540;03.04.1957;2,9
Bergen - Florida;SN50540;04.04.1957;4,9
Bergen - Florida;SN50540;05.04.1957;6
Bergen - Florida;SN50540;06.04.1957;3,6
Bergen - Florida;SN50540;07.04.1957;2
Bergen - Florida;SN50540;08.04.1957;4,5
Bergen - Florida;SN50540;09.04.1957;3,3
Bergen - Florida;SN50540;10.04.1957;0,3
Bergen - Florida;SN50540;11.04.1957;1,3
Bergen - Florida;SN50540;12.04.1957;0,2
Bergen - Florida;SN50540;13.04.1957;0,3
Bergen - Florida;SN50540;14.04.1957;-1
Bergen - Florida;SN50540;15.04.1957;2,1
Bergen - Florida;SN50540;16.04.1957;4,2
Bergen - Florida;SN50540;17.04.1957;5,6
Bergen - Florida;SN50540;18.04.1957;5,2
Bergen - Florida;SN50540;19.04.1957;4,9
Bergen - Florida;SN50540;20.04.1957;4,6
Bergen - Florida;SN50540;21.04.1957;3
Bergen - Florida;SN50540;22.04.1957;7,5
Bergen - Florida;SN50540;23.04.1957;8,1
Bergen - Florida;SN50540;24.04.1957;5,7
Bergen - Florida;SN50540;25.04.1957;4,4
Bergen - Florida;SN50540;26.04.1957;5,4
Bergen - Florida;SN50540;27.04.1957;4,3
Bergen - Florida;SN50540;28.04.1957;3,1
Bergen - Florida;SN50540;29.04.1957;4,5
Bergen - Florida;SN50540;30.04.1957;0,9
Bergen - Florida;SN50540;01.05.1957;1,9
Bergen - Florida;SN50540;02.05.1957;4,9
Bergen - Florida;SN50540;03.05.1957;2
Bergen - Florida;SN50540;04.05.1957;2
Bergen - Florida;SN50540;05.05.1957;2,2
Bergen - Florida;SN50540;06.05.1957;1,8
Bergen - Florida;SN50540;07.05.1957;1,4
Bergen - Florida;SN50540;08.05.1957;1,7
Bergen - Florida;SN50540;09.05.1957;1,9
Bergen - Florida;SN50540;10.05.1957;3,9
Bergen - Florida;SN50540;11.05.1957;5,7
Bergen - Florida;SN50540;12.05.1957;8,1
Bergen - Florida;SN50540;13.05.1957;9,4
Bergen - Florida;SN50540;14.05.1957;8,5
Bergen - Florida;SN50540;15.05.1957;6,8
Bergen - Florida;SN50540;16.05.1957;9,5
Bergen - Florida;SN50540;17.05.1957;8,1
Bergen - Florida;SN50540;18.05.1957;8,3
Bergen - Florida;SN50540;19.05.1957;7,5
Bergen - Florida;SN50540;20.05.1957;5,3
Bergen - Florida;SN50540;21.05.1957;5
Bergen - Florida;SN50540;22.05.1957;4,7
Bergen - Florida;SN50540;23.05.1957;7,8
Bergen - Florida;SN50540;24.05.1957;9,9
Bergen - Florida;SN50540;25.05.1957;6,9
Bergen - Florida;SN50540;26.05.1957;7,8
Bergen - Florida;SN50540;27.05.1957;8,5
Bergen - Florida;SN50540;28.05.1957;8,5
Bergen - Florida;SN50540;29.05.1957;7,6
Bergen - Florida;SN50540;30.05.1957;7,5
Bergen - Florida;SN50540;31.05.1957;8,3
Bergen - Florida;SN50540;01.06.1957;8,2
Bergen - Florida;SN50540;02.06.1957;7
Bergen - Florida;SN50540;03.06.1957;8,6
Bergen - Florida;SN50540;04.06.1957;6
Bergen - Florida;SN50540;05.06.1957;7,2
Bergen - Florida;SN50540;06.06.1957;5,6
Bergen - Florida;SN50540;07.06.1957;8,3
Bergen - Florida;SN50540;08.06.1957;6,7
Bergen - Florida;SN50540;09.06.1957;8
Bergen - Florida;SN50540;10.06.1957;10,2
Bergen - Florida;SN50540;11.06.1957;8,6
Bergen - Florida;SN50540;12.06.1957;8
Bergen - Florida;SN50540;13.06.1957;9,2
Bergen - Florida;SN50540;14.06.1957;8,5
Bergen - Florida;SN50540;15.06.1957;11
Bergen - Florida;SN50540;16.06.1957;12,3
Bergen - Florida;SN50540;17.06.1957;13,1
Bergen - Florida;SN50540;18.06.1957;10,3
Bergen - Florida;SN50540;19.06.1957;10,1
Bergen - Florida;SN50540;20.06.1957;7,7
Bergen - Florida;SN50540;21.06.1957;7,5
Bergen - Florida;SN50540;22.06.1957;7,7
Bergen - Florida;SN50540;23.06.1957;7,1
Bergen - Florida;SN50540;24.06.1957;7,8
Bergen - Florida;SN50540;25.06.1957;7,9
Bergen - Florida;SN50540;26.06.1957;7,4
Bergen - Florida;SN50540;27.06.1957;7,6
Bergen - Florida;SN50540;28.06.1957;9,9
Bergen - Florida;SN50540;29.06.1957;11,2
Bergen - Florida;SN50540;30.06.1957;10,9
Bergen - Florida;SN50540;01.07.1957;11,7
Bergen - Florida;SN50540;01.01.1958;-8
Bergen - Florida;SN50540;02.01.1958;-8,4
Bergen - Florida;SN50540;03.01.1958;-9,7
Bergen - Florida;SN50540;04.01.1958;-3,1
Bergen - Florida;SN50540;05.01.1958;1,8
Bergen - Florida;SN50540;06.01.1958;0,6
Bergen - Florida;SN50540;07.01.1958;-3
Bergen - Florida;SN50540;08.01.1958;-5,5
Bergen - Florida;SN50540;09.01.1958;-3,1
Bergen - Florida;SN50540;10.01.1958;-5
Bergen - Florida;SN50540;11.01.1958;3,8
Bergen - Florida;SN50540;12.01.1958;0,8
Bergen - Florida;SN50540;13.01.1958;-1,2
Bergen - Florida;SN50540;14.01.1958;1,9
Bergen - Florida;SN50540;15.01.1958;2,9
Bergen - Florida;SN50540;16.01.1958;2,9
Bergen - Florida;SN50540;17.01.1958;-1,7
Bergen - Florida;SN50540;18.01.1958;-2,4
Bergen - Florida;SN50540;19.01.1958;-5,5
Bergen - Florida;SN50540;20.01.1958;-3,9
Bergen - Florida;SN50540;21.01.1958;-4,4
Bergen - Florida;SN50540;22.01.1958;-5,5
Bergen - Florida;SN50540;23.01.1958;-3,8
Bergen - Florida;SN50540;24.01.1958;-4,1
Bergen - Florida;SN50540;25.01.1958;-4,4
Bergen - Florida;SN50540;26.01.1958;1
Bergen - Florida;SN50540;27.01.1958;3,6
Bergen - Florida;SN50540;28.01.1958;6,6
Bergen - Florida;SN50540;29.01.1958;6,7
Bergen - Florida;SN50540;30.01.1958;4,6
Bergen - Florida;SN50540;31.01.1958;5,8
Bergen - Florida;SN50540;01.02.1958;4,1
Bergen - Florida;SN50540;02.02.1958;1,5
Bergen - Florida;SN50540;03.02.1958;0,1
Bergen - Florida;SN50540;04.02.1958;0,5
Bergen - Florida;SN50540;05.02.1958;-3,2
Bergen - Florida;SN50540;06.02.1958;-7,2
Bergen - Florida;SN50540;07.02.1958;-9,5
Bergen - Florida;SN50540;08.02.1958;-10,4
Bergen - Florida;SN50540;09.02.1958;-5,1
Bergen - Florida;SN50540;10.02.1958;-6,7
Bergen - Florida;SN50540;11.02.1958;-0,5
Bergen - Florida;SN50540;12.02.1958;3,5
Bergen - Florida;SN50540;13.02.1958;4,2
Bergen - Florida;SN50540;14.02.1958;4,2
Bergen - Florida;SN50540;15.02.1958;3,7
Bergen - Florida;SN50540;16.02.1958;0,2
Bergen - Florida;SN50540;17.02.1958;-2,5
Bergen - Florida;SN50540;18.02.1958;-2
Bergen - Florida;SN50540;19.02.1958;-4,2
Bergen - Florida;SN50540;20.02.1958;-3,4
Bergen - Florida;SN50540;21.02.1958;-5,9
Bergen - Florida;SN50540;22.02.1958;-4,5
Bergen - Florida;SN50540;23.02.1958;-5,7
Bergen - Florida;SN50540;24.02.1958;-6,9
Bergen - Florida;SN50540;25.02.1958;-6,9
Bergen - Florida;SN50540;26.02.1958;-7,2
Bergen - Florida;SN50540;27.02.1958;-11,7
Bergen - Florida;SN50540;28.02.1958;-5,4
Bergen - Florida;SN50540;01.03.1958;1,8
Bergen - Florida;SN50540;02.03.1958;3
Bergen - Florida;SN50540;03.03.1958;3,5
Bergen - Florida;SN50540;04.03.1958;3,7
Bergen - Florida;SN50540;05.03.1958;0,3
Bergen - Florida;SN50540;06.03.1958;-1,5
Bergen - Florida;SN50540;07.03.1958;-3,8
Bergen - Florida;SN50540;08.03.1958;-6,7
Bergen - Florida;SN50540;09.03.1958;-6,7
Bergen - Florida;SN50540;10.03.1958;-7,7
Bergen - Florida;SN50540;11.03.1958;-6,1
Bergen - Florida;SN50540;12.03.1958;-7,2
Bergen - Florida;SN50540;13.03.1958;-5,6
Bergen - Florida;SN50540;14.03.1958;-2,6
Bergen - Florida;SN50540;15.03.1958;-5
Bergen - Florida;SN50540;16.03.1958;-2,7
Bergen - Florida;SN50540;17.03.1958;-3,5
Bergen - Florida;SN50540;18.03.1958;-1,7
Bergen - Florida;SN50540;19.03.1958;-0,4
Bergen - Florida;SN50540;20.03.1958;-3,8
Bergen - Florida;SN50540;21.03.1958;-5,1
Bergen - Florida;SN50540;22.03.1958;-4
Bergen - Florida;SN50540;23.03.1958;-3,9
Bergen - Florida;SN50540;24.03.1958;-2,1
Bergen - Florida;SN50540;25.03.1958;-3,3
Bergen - Florida;SN50540;26.03.1958;-1,7
Bergen - Florida;SN50540;27.03.1958;-0,9
Bergen - Florida;SN50540;28.03.1958;-0,7
Bergen - Florida;SN50540;29.03.1958;-2
Bergen - Florida;SN50540;30.03.1958;-0,5
Bergen - Florida;SN50540;31.03.1958;-2,2
Bergen - Florida;SN50540;01.04.1958;-2,7
Bergen - Florida;SN50540;02.04.1958;-0,1
Bergen - Florida;SN50540;03.04.1958;-0,9
Bergen - Florida;SN50540;04.04.1958;-0,3
Bergen - Florida;SN50540;05.04.1958;0,2
Bergen - Florida;SN50540;06.04.1958;1
Bergen - Florida;SN50540;07.04.1958;0,6
Bergen - Florida;SN50540;08.04.1958;0
Bergen - Florida;SN50540;09.04.1958;-2,5
Bergen - Florida;SN50540;10.04.1958;-1,5
Bergen - Florida;SN50540;11.04.1958;-1,1
Bergen - Florida;SN50540;12.04.1958;-0,1
Bergen - Florida;SN50540;13.04.1958;2,5
Bergen - Florida;SN50540;14.04.1958;4,7
Bergen - Florida;SN50540;15.04.1958;2,6
Bergen - Florida;SN50540;16.04.1958;2,3
Bergen - Florida;SN50540;17.04.1958;2,5
Bergen - Florida;SN50540;18.04.1958;1,2
Bergen - Florida;SN50540;19.04.1958;3,5
Bergen - Florida;SN50540;20.04.1958;5
Bergen - Florida;SN50540;21.04.1958;3,2
Bergen - Florida;SN50540;22.04.1958;0,5
Bergen - Florida;SN50540;23.04.1958;3,9
Bergen - Florida;SN50540;24.04.1958;5,4
Bergen - Florida;SN50540;25.04.1958;4
Bergen - Florida;SN50540;26.04.1958;4,3
Bergen - Florida;SN50540;27.04.1958;5,5
Bergen - Florida;SN50540;28.04.1958;3,5
Bergen - Florida;SN50540;29.04.1958;5,3
Bergen - Florida;SN50540;30.04.1958;5,5
Bergen - Florida;SN50540;01.05.1958;5,5
Bergen - Florida;SN50540;02.05.1958;2
Bergen - Florida;SN50540;03.05.1958;2,4
Bergen - Florida;SN50540;04.05.1958;1,2
Bergen - Florida;SN50540;05.05.1958;2,5
Bergen - Florida;SN50540;06.05.1958;2,3
Bergen - Florida;SN50540;07.05.1958;4,5
Bergen - Florida;SN50540;08.05.1958;4,3
Bergen - Florida;SN50540;09.05.1958;6,6
Bergen - Florida;SN50540;10.05.1958;3,5
Bergen - Florida;SN50540;11.05.1958;3,9
Bergen - Florida;SN50540;12.05.1958;3,3
Bergen - Florida;SN50540;13.05.1958;3,8
Bergen - Florida;SN50540;14.05.1958;4,3
Bergen - Florida;SN50540;15.05.1958;5,9
Bergen - Florida;SN50540;16.05.1958;5,4
Bergen - Florida;SN50540;17.05.1958;5,3
Bergen - Florida;SN50540;18.05.1958;3,5
Bergen - Florida;SN50540;19.05.1958;5,1
Bergen - Florida;SN50540;20.05.1958;7,5
Bergen - Florida;SN50540;21.05.1958;5,9
Bergen - Florida;SN50540;22.05.1958;5,2
Bergen - Florida;SN50540;23.05.1958;4,9
Bergen - Florida;SN50540;24.05.1958;7,2
Bergen - Florida;SN50540;25.05.1958;8,9
Bergen - Florida;SN50540;26.05.1958;8,6
Bergen - Florida;SN50540;27.05.1958;7,6
Bergen - Florida;SN50540;28.05.1958;7,4
Bergen - Florida;SN50540;29.05.1958;6
